id	url	name	species	revision	steatosis	cholestasis	crystallopathy	tub.necrosis	cfd	ntc
WP5223	https://www.wikipathways.org/instance/WP5223	2q21.1 copy number variation syndrome	Homo sapiens	2024-07-23	0	0	0	0	1	0
WP5224	https://www.wikipathways.org/instance/WP5224	2q37 copy number variation syndrome	Homo sapiens	2024-07-24	0	0	0	0	1	0
WP4906	https://www.wikipathways.org/instance/WP4906	3q29 copy number variation syndrome	Homo sapiens	2024-07-26	0	0	0	0	1	0
WP3879	https://www.wikipathways.org/instance/WP3879	4-hydroxytamoxifen, dexamethasone, and retinoic acids regulation of p27 expression	Homo sapiens	2024-02-15	0	0	0	0	0	1
WP5365	https://www.wikipathways.org/instance/WP5365	4p16.3 copy number variation	Homo sapiens	2024-07-23	0	0	0	0	1	0
WP5380	https://www.wikipathways.org/instance/WP5380	5q35 copy number variation	Homo sapiens	2024-07-23	0	0	0	0	1	0
WP5400	https://www.wikipathways.org/instance/WP5400	6q16 copy number variation	Homo sapiens	2024-07-22	0	0	0	0	1	0
WP5064	https://www.wikipathways.org/instance/WP5064	7-oxo-C and 7-beta-HC pathways	Homo sapiens	2024-02-13	0	0	0	0	0	1
WP4932	https://www.wikipathways.org/instance/WP4932	7q11.23 copy number variation syndrome	Homo sapiens	2024-07-24	0	0	0	0	1	0
WP5401	https://www.wikipathways.org/instance/WP5401	7q11.23 distal copy number variation	Homo sapiens	2024-07-22	0	0	0	0	1	0
WP5346	https://www.wikipathways.org/instance/WP5346	8p23.1 copy number variation syndrome	Homo sapiens	2024-07-22	0	0	0	0	1	0
WP5412	https://www.wikipathways.org/instance/WP5412	8q11.23 (RB1CC1) copy number variation	Homo sapiens	2024-07-23	0	0	0	0	0	0
WP5343	https://www.wikipathways.org/instance/WP5343	Abnormal calcium handling and its effects on muscle contraction in DMD	Homo sapiens	2023-05-01	0	0	0	0	0	0
WP554	https://www.wikipathways.org/instance/WP554	ACE inhibitor pathway	Homo sapiens	2024-02-13	0	0	1	1	0	0
WP5035	https://www.wikipathways.org/instance/WP5035	ACE2 inhibition leads to pulmonary fibrosis	Homo sapiens	2024-07-23	0	0	1	1	0	0
WP5444	https://www.wikipathways.org/instance/WP5444	Acetaminophen in analgesia and antipyresis	Homo sapiens	2024-03-09	0	0	0	0	0	0
WP528	https://www.wikipathways.org/instance/WP528	Acetylcholine synthesis	Homo sapiens	2024-01-24	0	0	0	0	1	0
WP5104	https://www.wikipathways.org/instance/WP5104	Acquired partial lipodystrophy / Barraquer-Simons syndrome	Homo sapiens	2024-02-05	0	0	0	0	0	0
WP4233	https://www.wikipathways.org/instance/WP4233	Acrylamide biotransformation and exposure biomarkers	Homo sapiens	2021-05-22	0	0	0	0	0	0
WP4876	https://www.wikipathways.org/instance/WP4876	Activation of NLRP3 inflammasome by SARS-CoV-2	Homo sapiens	2024-07-29	0	0	0	0	0	0
WP5293	https://www.wikipathways.org/instance/WP5293	Acute myeloid leukemia	Homo sapiens	2023-10-14	0	0	0	0	0	0
WP4298	https://www.wikipathways.org/instance/WP4298	Acute viral myocarditis	Homo sapiens	2024-07-21	0	0	0	0	0	0
WP5420	https://www.wikipathways.org/instance/WP5420	ADHD and autism (ASD) pathways	Homo sapiens	2024-07-23	0	0	0	0	1	0
WP236	https://www.wikipathways.org/instance/WP236	Adipogenesis	Homo sapiens	2019-08-16	0	0	0	0	0	0
WP4914	https://www.wikipathways.org/instance/WP4914	Adverse outcome pathway for mitochondrial complex 1 (C1) inhibition	Homo sapiens	2024-02-16	0	0	1	1	1	1
WP5356	https://www.wikipathways.org/instance/WP5356	Affected pathways in Duchenne muscular dystrophy	Homo sapiens	2024-07-23	0	0	0	0	0	0
WP699	https://www.wikipathways.org/instance/WP699	Aflatoxin B1 metabolism	Homo sapiens	2024-07-22	0	0	1	0	0	0
WP2324	https://www.wikipathways.org/instance/WP2324	AGE/RAGE pathway	Homo sapiens	2023-04-25	0	0	1	1	1	1
WP4962	https://www.wikipathways.org/instance/WP4962	Airway smooth muscle cell contraction	Homo sapiens	2024-07-22	0	0	0	0	0	0
WP5136	https://www.wikipathways.org/instance/WP5136	ALA oxylipin metabolism	Homo sapiens	2024-07-23	0	0	0	0	1	0
WP106	https://www.wikipathways.org/instance/WP106	Alanine and aspartate metabolism	Homo sapiens	2023-07-09	0	0	0	0	1	0
WP2328	https://www.wikipathways.org/instance/WP2328	Allograft rejection	Homo sapiens	2022-01-11	0	0	1	0	0	0
WP244	https://www.wikipathways.org/instance/WP244	Alpha 6 beta 4 signaling	Homo sapiens	2024-05-22	0	0	0	0	0	1
WP5202	https://www.wikipathways.org/instance/WP5202	Alstrom syndrome	Homo sapiens	2024-02-23	0	0	0	0	0	0
WP4480	https://www.wikipathways.org/instance/WP4480	Altered glycosylation of MUC1 in tumor microenvironment	Homo sapiens	2024-03-16	0	0	0	0	0	0
WP4524	https://www.wikipathways.org/instance/WP4524	Alternative pathway of fetal androgen synthesis	Homo sapiens	2024-02-13	0	0	0	0	0	1
WP5124	https://www.wikipathways.org/instance/WP5124	Alzheimer's disease	Homo sapiens	2024-02-05	0	0	0	0	0	0
WP2059	https://www.wikipathways.org/instance/WP2059	Alzheimer's disease and miRNA effects	Homo sapiens	2024-01-24	0	0	0	0	0	0
WP715	https://www.wikipathways.org/instance/WP715	Amino acid conjugation	Homo sapiens	2024-07-22	0	0	0	0	0	0
WP521	https://www.wikipathways.org/instance/WP521	Amino acid conjugation of benzoic acid	Homo sapiens	2020-07-02	0	0	0	0	0	0
WP3925	https://www.wikipathways.org/instance/WP3925	Amino acid metabolism	Homo sapiens	2021-05-16	0	0	0	0	1	1
WP5213	https://www.wikipathways.org/instance/WP5213	Amino acid metabolism in triple-negative breast cancer cells	Homo sapiens	2024-07-23	0	0	0	0	0	0
WP4661	https://www.wikipathways.org/instance/WP4661	Amino acid metabolism pathway excerpt: histidine catabolism extension	Homo sapiens	2021-05-22	0	0	0	0	0	0
WP5029	https://www.wikipathways.org/instance/WP5029	Amino acid transport defects (IEMs)	Homo sapiens	2024-02-13	0	0	1	1	0	0
WP3678	https://www.wikipathways.org/instance/WP3678	Amplification and expansion of oncogenic pathways as metastatic traits	Homo sapiens	2024-02-15	0	0	0	0	0	0
WP2447	https://www.wikipathways.org/instance/WP2447	Amyotrophic lateral sclerosis (ALS)	Homo sapiens	2024-01-28	0	0	0	0	0	0
WP2263	https://www.wikipathways.org/instance/WP2263	Androgen receptor network in prostate cancer	Homo sapiens	2024-07-18	0	0	0	0	0	0
WP138	https://www.wikipathways.org/instance/WP138	Androgen receptor signaling	Homo sapiens	2024-05-22	0	0	0	0	1	0
WP1539	https://www.wikipathways.org/instance/WP1539	Angiogenesis	Homo sapiens	2024-02-13	0	0	0	0	1	0
WP5036	https://www.wikipathways.org/instance/WP5036	Angiotensin II receptor type 1 pathway	Homo sapiens	2024-02-17	0	0	1	0	0	0
WP5113	https://www.wikipathways.org/instance/WP5113	Antiviral and anti-inflammatory effects of Nrf2 on SARS-CoV-2 pathway	Homo sapiens	2021-07-02	0	0	1	0	0	0
WP2864	https://www.wikipathways.org/instance/WP2864	Apoptosis-related network due to altered Notch3 in ovarian cancer	Homo sapiens	2019-11-29	0	0	0	0	0	0
WP678	https://www.wikipathways.org/instance/WP678	Arachidonate epoxygenase / epoxide hydrolase	Homo sapiens	2024-07-22	0	0	1	0	0	0
WP5155	https://www.wikipathways.org/instance/WP5155	Arachidonic acid (AA, ARA) oxylipin metabolism	Homo sapiens	2022-12-10	0	0	1	0	0	0
WP2640	https://www.wikipathways.org/instance/WP2640	Aripiprazole metabolic pathway	Homo sapiens	2021-05-22	0	0	0	0	0	0
WP2118	https://www.wikipathways.org/instance/WP2118	Arrhythmogenic right ventricular cardiomyopathy	Homo sapiens	2021-06-22	0	0	0	0	0	0
WP5228	https://www.wikipathways.org/instance/WP5228	Arsenic liver toxicity pathway	Homo sapiens	2024-03-28	0	0	0	0	0	0
WP5233	https://www.wikipathways.org/instance/WP5233	Arsenic metabolism and reactive oxygen species generation	Homo sapiens	2024-07-23	0	0	1	0	1	1
WP5441	https://www.wikipathways.org/instance/WP5441	Artemisinin inhibition of uveal melanoma	Homo sapiens	2024-05-23	0	0	0	0	0	0
WP694	https://www.wikipathways.org/instance/WP694	Arylamine metabolism	Homo sapiens	2024-07-22	0	0	0	0	0	0
WP4707	https://www.wikipathways.org/instance/WP4707	Aspirin and miRNAs	Homo sapiens	2024-07-21	0	0	1	0	0	0
WP2516	https://www.wikipathways.org/instance/WP2516	ATM signaling	Homo sapiens	2024-05-22	0	0	0	0	1	1
WP3878	https://www.wikipathways.org/instance/WP3878	ATM signaling in development and disease	Homo sapiens	2024-02-27	0	0	0	0	1	1
WP3875	https://www.wikipathways.org/instance/WP3875	ATR signaling	Homo sapiens	2024-02-15	0	0	0	0	1	0
WP4923	https://www.wikipathways.org/instance/WP4923	Autophagy	Homo sapiens	2020-05-09	0	1	0	0	1	0
WP5331	https://www.wikipathways.org/instance/WP5331	Autophagy in pancreatic ductal adenocarcinoma	Homo sapiens	2024-07-22	0	0	0	0	0	0
WP4788	https://www.wikipathways.org/instance/WP4788	Autosomal recessive osteopetrosis pathways	Homo sapiens	2024-02-24	0	0	0	0	0	0
WP5289	https://www.wikipathways.org/instance/WP5289	Axon guidance	Homo sapiens	2024-05-31	0	0	0	0	1	0
WP23	https://www.wikipathways.org/instance/WP23	B cell receptor signaling	Homo sapiens	2024-05-22	0	0	0	0	0	0
WP5234	https://www.wikipathways.org/instance/WP5234	Bardet-Biedl syndrome	Homo sapiens	2024-07-23	0	0	1	1	1	0
WP4752	https://www.wikipathways.org/instance/WP4752	Base excision repair	Homo sapiens	2023-11-14	0	0	1	0	1	0
WP3676	https://www.wikipathways.org/instance/WP3676	BDNF-TrkB signaling	Homo sapiens	2024-01-28	0	0	0	0	1	0
WP3891	https://www.wikipathways.org/instance/WP3891	Benzene metabolism	Homo sapiens	2019-08-16	0	0	0	0	0	0
WP696	https://www.wikipathways.org/instance/WP696	Benzo(a)pyrene metabolism	Homo sapiens	2019-08-20	0	0	0	0	0	0
WP4389	https://www.wikipathways.org/instance/WP4389	Bile acid synthesis and enterohepatic circulation	Homo sapiens	2024-05-09	0	1	0	0	0	0
WP550	https://www.wikipathways.org/instance/WP550	Biogenic amine synthesis	Homo sapiens	2023-04-19	0	0	0	0	1	0
WP4584	https://www.wikipathways.org/instance/WP4584	Biomarkers for pyrimidine metabolism disorders	Homo sapiens	2021-06-23	0	0	0	0	0	0
WP4583	https://www.wikipathways.org/instance/WP4583	Biomarkers for urea cycle disorders	Homo sapiens	2019-09-17	0	0	0	0	0	0
WP4156	https://www.wikipathways.org/instance/WP4156	Biosynthesis and regeneration of tetrahydrobiopterin and catabolism of phenylalanine	Homo sapiens	2024-01-29	0	0	0	0	1	0
WP5179	https://www.wikipathways.org/instance/WP5179	Biosynthesis and turnover of 1-deoxy-sphingoid bases	Homo sapiens	2024-07-27	0	0	0	0	0	0
WP5031	https://www.wikipathways.org/instance/WP5031	Biotin metabolism, including IMDs	Homo sapiens	2021-06-17	0	0	0	0	1	0
WP2828	https://www.wikipathways.org/instance/WP2828	Bladder cancer	Homo sapiens	2024-02-12	0	0	0	0	0	0
WP4580	https://www.wikipathways.org/instance/WP4580	Blood clotting and drug effects	Homo sapiens	2024-07-27	0	0	0	0	0	0
WP272	https://www.wikipathways.org/instance/WP272	Blood clotting cascade	Homo sapiens	2023-11-25	0	0	0	0	0	0
WP3927	https://www.wikipathways.org/instance/WP3927	BMP signaling in eyelid development	Homo sapiens	2021-05-22	0	0	0	0	0	0
WP3876	https://www.wikipathways.org/instance/WP3876	BMP2-WNT4-FOXO1 pathway in primary endometrial stromal cell differentiation	Homo sapiens	2021-05-07	0	0	0	0	0	0
WP1425	https://www.wikipathways.org/instance/WP1425	Bone morphogenic protein signaling and regulation	Homo sapiens	2023-04-20	0	0	1	0	1	1
WP2380	https://www.wikipathways.org/instance/WP2380	Brain-derived neurotrophic factor (BDNF) signaling	Homo sapiens	2024-05-22	0	0	1	0	1	0
WP4262	https://www.wikipathways.org/instance/WP4262	Breast cancer pathway	Homo sapiens	2024-02-18	0	0	0	0	0	0
WP5055	https://www.wikipathways.org/instance/WP5055	Burn wound healing	Homo sapiens	2024-07-22	0	0	0	0	0	0
WP2366	https://www.wikipathways.org/instance/WP2366	Butyrate-induced histone acetylation	Homo sapiens	2019-07-08	0	0	1	0	1	0
WP3633	https://www.wikipathways.org/instance/WP3633	Caffeine and theobromine metabolism	Homo sapiens	2021-05-27	0	0	0	0	0	0
WP5142	https://www.wikipathways.org/instance/WP5142	Calcium mediated T-cell apoptosis involved in inclusion body myositis	Homo sapiens	2024-01-29	0	0	0	0	0	0
WP536	https://www.wikipathways.org/instance/WP536	Calcium regulation in cardiac cells	Homo sapiens	2024-07-29	0	0	0	0	0	0
WP4191	https://www.wikipathways.org/instance/WP4191	Caloric restriction and aging	Homo sapiens	2019-08-21	0	0	0	0	0	0
WP4874	https://www.wikipathways.org/instance/WP4874	CAMKK2 pathway	Homo sapiens	2024-07-26	0	0	0	0	1	0
WP4582	https://www.wikipathways.org/instance/WP4582	Cancer immunotherapy by CTLA4 blockade	Homo sapiens	2024-01-28	0	0	0	0	0	0
WP4585	https://www.wikipathways.org/instance/WP4585	Cancer immunotherapy by PD-1 blockade	Homo sapiens	2024-07-27	0	0	0	0	0	0
WP5434	https://www.wikipathways.org/instance/WP5434	Cancer pathways	Homo sapiens	2024-04-23	0	0	0	0	0	0
WP3869	https://www.wikipathways.org/instance/WP3869	Cannabinoid receptor signaling	Homo sapiens	2021-05-27	0	0	0	0	1	0
WP3845	https://www.wikipathways.org/instance/WP3845	Canonical and non-canonical Notch signaling	Homo sapiens	2024-01-11	0	0	0	0	1	1
WP3874	https://www.wikipathways.org/instance/WP3874	Canonical and non-canonical TGF-B signaling	Homo sapiens	2024-01-24	0	0	1	1	1	1
WP4562	https://www.wikipathways.org/instance/WP4562	Canonical NF-kB pathway	Homo sapiens	2021-05-23	0	0	1	1	1	1
WP2795	https://www.wikipathways.org/instance/WP2795	Cardiac hypertrophic response	Homo sapiens	2021-05-22	0	0	0	0	0	0
WP2406	https://www.wikipathways.org/instance/WP2406	Cardiac progenitor differentiation	Homo sapiens	2023-11-25	0	0	0	0	0	0
WP5344	https://www.wikipathways.org/instance/WP5344	Cardiomyocyte signaling converging on titin	Homo sapiens	2024-05-22	0	0	0	0	0	0
WP5313	https://www.wikipathways.org/instance/WP5313	Carnosine metabolism of glial cells	Homo sapiens	2023-11-14	0	0	0	0	1	0
WP5474	https://www.wikipathways.org/instance/WP5474	Catabolism of skeletal muscle in cachexia	Homo sapiens	2024-07-21	0	0	0	0	0	0
WP688	https://www.wikipathways.org/instance/WP688	Catalytic cycle of mammalian flavin-containing monooxygenases (FMOs)	Homo sapiens	2021-05-22	0	0	0	0	0	0
WP5097	https://www.wikipathways.org/instance/WP5097	CCL18 signaling	Homo sapiens	2024-05-22	0	0	0	0	0	0
WP179	https://www.wikipathways.org/instance/WP179	Cell cycle	Homo sapiens	2023-09-02	0	0	1	1	1	1
WP2023	https://www.wikipathways.org/instance/WP2023	Cell differentiation - expanded index	Homo sapiens	2021-05-22	0	0	0	0	1	1
WP2029	https://www.wikipathways.org/instance/WP2029	Cell differentiation - index	Homo sapiens	2021-11-27	0	0	0	0	1	1
WP5284	https://www.wikipathways.org/instance/WP5284	Cell interactions of the pancreatic cancer microenvironment	Homo sapiens	2024-03-16	0	0	0	0	0	0
WP5417	https://www.wikipathways.org/instance/WP5417	Cell lineage map for neuronal differentiation	Homo sapiens	2024-02-05	0	0	0	0	1	1
WP3679	https://www.wikipathways.org/instance/WP3679	Cell-type dependent selectivity of CCK2R signaling	Homo sapiens	2024-02-22	0	0	0	0	0	0
WP4493	https://www.wikipathways.org/instance/WP4493	Cells and molecules involved in local acute inflammatory response	Homo sapiens	2022-01-10	0	0	0	1	0	0
WP4918	https://www.wikipathways.org/instance/WP4918	Cellular proteostasis	Homo sapiens	2024-02-05	0	0	1	0	1	1
WP4519	https://www.wikipathways.org/instance/WP4519	Cerebral organic acidurias, including diseases	Homo sapiens	2024-01-29	0	0	0	0	1	0
WP3929	https://www.wikipathways.org/instance/WP3929	Chemokine signaling	Homo sapiens	2024-05-31	0	0	0	0	1	0
WP5238	https://www.wikipathways.org/instance/WP5238	Cholestasis	Homo sapiens	2024-07-23	0	1	0	0	0	0
WP4804	https://www.wikipathways.org/instance/WP4804	Cholesterol biosynthesis with skeletal dysplasias	Homo sapiens	2024-02-12	0	0	0	0	0	0
WP4216	https://www.wikipathways.org/instance/WP4216	Chromosomal and microsatellite instability in colorectal cancer	Homo sapiens	2024-07-21	0	0	0	0	0	0
WP5283	https://www.wikipathways.org/instance/WP5283	Chronic hyperglycemia impairment of neuron function	Homo sapiens	2024-02-02	0	0	0	0	1	0
WP4352	https://www.wikipathways.org/instance/WP4352	Ciliary landscape	Homo sapiens	2024-07-28	0	0	1	1	1	0
WP4803	https://www.wikipathways.org/instance/WP4803	Ciliopathies	Homo sapiens	2024-02-25	0	0	1	1	1	0
WP3594	https://www.wikipathways.org/instance/WP3594	Circadian rhythm genes	Homo sapiens	2021-05-22	0	0	0	0	0	0
WP4523	https://www.wikipathways.org/instance/WP4523	Classical pathway of steroidogenesis with glucocorticoid and mineralocorticoid metabolism	Homo sapiens	2024-07-21	0	0	1	0	1	0
WP4018	https://www.wikipathways.org/instance/WP4018	Clear cell renal cell carcinoma pathways	Homo sapiens	2023-09-13	0	0	1	1	0	0
WP5205	https://www.wikipathways.org/instance/WP5205	Clock-controlled autophagy in bone metabolism	Homo sapiens	2022-12-10	0	0	0	0	0	0
WP2826	https://www.wikipathways.org/instance/WP2826	Cocaine metabolism	Homo sapiens	2019-09-17	0	0	0	0	0	0
WP1604	https://www.wikipathways.org/instance/WP1604	Codeine and morphine metabolism	Homo sapiens	2024-01-29	0	0	0	0	0	0
WP5117	https://www.wikipathways.org/instance/WP5117	Cohesin complex - Cornelia de Lange syndrome	Homo sapiens	2024-03-27	0	0	0	0	1	0
WP2536	https://www.wikipathways.org/instance/WP2536	Colchicine metabolic pathway	Homo sapiens	2021-05-22	0	0	0	0	0	0
WP2636	https://www.wikipathways.org/instance/WP2636	Common pathways underlying drug addiction	Homo sapiens	2024-05-23	0	0	0	0	0	0
WP545	https://www.wikipathways.org/instance/WP545	Complement activation	Homo sapiens	2024-01-29	0	0	1	0	0	0
WP558	https://www.wikipathways.org/instance/WP558	Complement and coagulation cascades	Homo sapiens	2024-07-22	0	0	0	0	0	0
WP2806	https://www.wikipathways.org/instance/WP2806	Complement system	Homo sapiens	2024-07-23	0	0	0	0	0	0
WP5090	https://www.wikipathways.org/instance/WP5090	Complement system in neuronal development and plasticity	Homo sapiens	2024-07-22	0	0	0	0	1	0
WP5148	https://www.wikipathways.org/instance/WP5148	Complement-mediated inflammation of pulmonary alveolus in COVID-19 (hypothetical pathway)	Homo sapiens	2024-01-31	0	0	0	0	0	0
WP5101	https://www.wikipathways.org/instance/WP5101	Congenital generalized lipodystrophy	Homo sapiens	2021-06-20	0	0	0	0	0	0
WP4484	https://www.wikipathways.org/instance/WP4484	Control of immune tolerance by vasoactive intestinal peptide	Homo sapiens	2024-07-27	0	0	0	0	0	0
WP4818	https://www.wikipathways.org/instance/WP4818	Conversion of angiotensinogen to angiotensin II	Homo sapiens	2021-05-22	0	0	1	0	0	0
WP3286	https://www.wikipathways.org/instance/WP3286	Copper homeostasis	Homo sapiens	2024-01-29	0	0	0	0	0	0
WP5189	https://www.wikipathways.org/instance/WP5189	Copper metabolism	Homo sapiens	2024-01-30	0	0	0	0	0	0
WP1946	https://www.wikipathways.org/instance/WP1946	Cori cycle	Homo sapiens	2023-04-28	0	0	0	0	0	0
WP2355	https://www.wikipathways.org/instance/WP2355	Corticotropin-releasing hormone signaling	Homo sapiens	2024-05-22	0	0	0	0	1	0
WP4891	https://www.wikipathways.org/instance/WP4891	COVID-19 adverse outcome pathway	Homo sapiens	2021-12-10	0	0	0	0	0	0
WP5256	https://www.wikipathways.org/instance/WP5256	COVID-19 and endothelial cell senescence	Homo sapiens	2022-12-10	0	0	0	0	0	0
WP5145	https://www.wikipathways.org/instance/WP5145	COVID-19 structural coverage map	Homo sapiens	2024-01-31	0	0	0	0	0	0
WP4927	https://www.wikipathways.org/instance/WP4927	COVID-19, thrombosis and anticoagulation	Homo sapiens	2022-02-26	0	0	0	0	0	0
WP5190	https://www.wikipathways.org/instance/WP5190	Creatine pathway	Homo sapiens	2024-01-30	0	0	1	1	1	0
WP4504	https://www.wikipathways.org/instance/WP4504	Cysteine and methionine catabolism	Homo sapiens	2024-07-27	0	0	1	1	0	0
WP5473	https://www.wikipathways.org/instance/WP5473	Cytokine-cytokine receptor interaction	Homo sapiens	2024-05-31	0	0	1	1	0	0
WP530	https://www.wikipathways.org/instance/WP530	Cytokines and inflammatory response	Homo sapiens	2024-03-17	0	0	1	1	0	0
WP3585	https://www.wikipathways.org/instance/WP3585	Cytosine methylation	Homo sapiens	2019-09-17	0	0	0	0	1	1
WP4655	https://www.wikipathways.org/instance/WP4655	Cytosolic DNA-sensing pathway	Homo sapiens	2019-07-15	0	0	0	0	0	0
WP2942	https://www.wikipathways.org/instance/WP2942	DDX1 as a regulatory component of the Drosha microprocessor	Homo sapiens	2021-06-17	0	0	0	0	0	0
WP4153	https://www.wikipathways.org/instance/WP4153	Degradation pathway of sphingolipids, including diseases	Homo sapiens	2024-03-27	0	0	0	0	1	0
WP3896	https://www.wikipathways.org/instance/WP3896	Dengue-2 interactions with complement and coagulation cascades	Homo sapiens	2024-07-21	0	0	0	0	0	0
WP2291	https://www.wikipathways.org/instance/WP2291	Deregulation of Rab and Rab effector genes in bladder cancer	Homo sapiens	2021-05-22	0	0	0	0	0	0
WP3893	https://www.wikipathways.org/instance/WP3893	Development and heterogeneity of the ILC family	Homo sapiens	2024-05-11	0	0	0	0	0	0
WP3892	https://www.wikipathways.org/instance/WP3892	Development of pulmonary dendritic cells and macrophage subsets	Homo sapiens	2024-03-28	0	0	0	0	0	0
WP5053	https://www.wikipathways.org/instance/WP5053	Development of ureteric collection system	Homo sapiens	2024-07-23	0	0	1	1	0	0
WP2491	https://www.wikipathways.org/instance/WP2491	Diclofenac metabolic pathway	Homo sapiens	2021-05-22	0	0	1	1	0	1
WP5219	https://www.wikipathways.org/instance/WP5219	Diet-dependent trimethylamine/trimethylamine N-oxide metabolism	Homo sapiens	2023-06-23	0	0	1	0	0	0
WP2895	https://www.wikipathways.org/instance/WP2895	Differentiation of white and brown adipocyte	Homo sapiens	2021-05-27	0	0	0	0	0	0
WP4931	https://www.wikipathways.org/instance/WP4931	Direct reversal repair	Homo sapiens	2021-05-22	0	0	0	0	1	0
WP5195	https://www.wikipathways.org/instance/WP5195	Disorders in ketolysis	Homo sapiens	2024-01-30	0	0	0	0	0	0
WP5176	https://www.wikipathways.org/instance/WP5176	Disorders of bile acid synthesis and biliary transport	Homo sapiens	2024-01-30	0	1	0	0	0	0
WP4875	https://www.wikipathways.org/instance/WP4875	Disruption of postsynaptic signaling by CNV	Homo sapiens	2021-05-07	0	0	0	0	1	0
WP5389	https://www.wikipathways.org/instance/WP5389	DNA adduct formation leading to kidney failure	Homo sapiens	2024-07-22	0	0	1	1	0	0
WP707	https://www.wikipathways.org/instance/WP707	DNA damage response	Homo sapiens	2024-02-22	0	0	1	1	1	0
WP710	https://www.wikipathways.org/instance/WP710	DNA damage response (only ATM dependent)	Homo sapiens	2024-07-18	0	0	0	0	0	0
WP4016	https://www.wikipathways.org/instance/WP4016	DNA IR-damage and cellular response via ATR	Homo sapiens	2021-12-23	0	0	0	0	0	0
WP3959	https://www.wikipathways.org/instance/WP3959	DNA IR-double strand breaks and cellular response via ATM	Homo sapiens	2021-05-27	0	0	0	0	0	0
WP531	https://www.wikipathways.org/instance/WP531	DNA mismatch repair	Homo sapiens	2021-05-22	0	0	1	1	1	1
WP4946	https://www.wikipathways.org/instance/WP4946	DNA repair pathways, full network	Homo sapiens	2021-05-22	0	0	1	1	1	1
WP466	https://www.wikipathways.org/instance/WP466	DNA replication	Homo sapiens	2024-02-21	0	0	0	0	1	1
WP5154	https://www.wikipathways.org/instance/WP5154	Docosahexaenoic acid oxylipin metabolism	Homo sapiens	2024-07-27	0	0	0	0	1	0
WP2436	https://www.wikipathways.org/instance/WP2436	Dopamine metabolism	Homo sapiens	2019-09-17	0	0	0	0	1	0
WP2855	https://www.wikipathways.org/instance/WP2855	Dopaminergic neurogenesis	Homo sapiens	2023-04-25	0	0	0	0	1	0
WP4799	https://www.wikipathways.org/instance/WP4799	Downregulation of ACE2 by SARS-CoV-2 spike protein	Homo sapiens	2024-03-07	0	0	1	0	0	0
WP5200	https://www.wikipathways.org/instance/WP5200	Dravet syndrome	Homo sapiens	2024-07-23	0	0	0	0	1	0
WP2289	https://www.wikipathways.org/instance/WP2289	Drug induction of bile acid pathway	Homo sapiens	2024-02-19	0	1	0	0	0	0
WP3300	https://www.wikipathways.org/instance/WP3300	Dual hijack model of Vif in HIV infection	Homo sapiens	2018-12-17	0	0	0	0	0	0
